Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
ANIMALE MESSAGGERO,2,Ammaliamento,"bardo, druido, ranger",azione o rituale,9 metri,"V, S, M (un boccone di cibo)",24 ore,"Una bestia Minuscola a scelta entro gittata che l'incanta­ tore è in grado di vedere deve superare un tiro salvezza su Carisma, altrimenti deve cercare di consegnare un messag­ gio da parte sua (se il grado di sfida del bersaglio non è O, la prova viene superata automaticamente). L'incantatore specifica il luogo di consegna, che ha già visitato, e un destinatario che corrisponda a una descrizione generica, come ""una persona che indossa l'uniforme della guardia cittadina"" o ""un nano dai capelli rossi che indossa un cappello a punta"". Inoltre, l'incantatore comunica un messaggio composto da un massimo di venticinque parole. La bestia bersaglio viaggia per la durata dell'incantesimo verso il luogo specificato, percorrendo circa 37,5 chilome­ tri in 24 ore o 75 chilometri se è una bestia volante. Quando la bestia arriva a destinazione, trasmette il messaggio alla creatura descritta, imitando il modo di comunicare dell'incantatore. Se la bestia non raggiunge la sua destinazione prima della fine dell'incantesimo, il messaggio viene perso e la bestia torna nel luogo dove l'incantatore ha lanciato l'incantesimo. Utilizzo di uno slot incantesimo di livello superiore. La durata dell'incantesimo aumenta di 48 ore per ogni slot di livello superiore al 2°. ANIMARE MORTI"
ANIMARE MORTI,3,Necromanzia,"chierico, mago",1 minuto,3 metri,"V, S, M (una goccia di sangue, un pezzo di carne e un pizzico di polvere d 'osso)",istantanea,"L'incantatore sceglie una pila di ossa o un cadavere uma­ noide di taglia Media o Piccola entro gittata, animandolo come creatura non morta. Il bersaglio si trasforma in uno scheletro se l'incantatore sceglie la pila di ossa, o in uno zombi se l'incantatore sceglie un cadavere (vedi l'appen­ dice B per le schede delle statistiche). A ogni suo turno, l'incantatore può effettuare un'azione bonus per comandare mentalmente qualsiasi creatura creata con questo incantesimo, a patto che si trovi entro 18 metri da lui (se controlla varie creature, l'incantatore può comandarne più di una allo stesso momento, impartendo lo stesso comando a ciascuna di loro). L'incantatore decide quale azione effettuerà la creatura e dove si muoverà nel suo turno successivo, oppure può impartirle un comando generale, come restare a guardia di una stanza o un di corridoio. Se invece non impartisce alcun comando, la creatura effettua l'azione Schivata e si sposta solo per evitare di subire danni. Una volta ricevuto un ordine, la creatura continua a seguirlo finché non ha portato a termine il compito. La creatura rimane sotto il controllo dell'incantatore per 24 ore, passate le quali smette di obbedire a qualsiasi comando ulteriore. Per mantenere il controllo sulla creatura per altre 24 ore, l'incantatore deve lanciare di nuovo questo incantesimo su di essa prima che l'attuale periodo di 24 ore termini. Questo uso dell'incantesimo gli permette di ristabilire il controllo su un massimo di quattro creature da lui animate tramite questo incante­ simo, anziché animarne una nuova. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore anima due creature non morte aggiuntive o ristabilisce il controllo su di esse per ogni slot incante­ simo di livello superiore al 3°. Ognuna delle creature deve provenire da un diverso cadavere o mucchio d'ossa. U N  B R A C I E R E  S O TT O L'E F F E TTO O E L L I N C /\ N T E S I M O ANIMARE OGGETTI 0CC ETTO A N I MATO Costrutto Enorme o inferiore, senza allineamento CA 1 5 PF 1 0  (taglia Media o i nferiore), 20 (taglia G rande), 40 (taglia Enorme) Velocità 9 m MOD SALV FoR 1 6  +3 +3 I NT -4 -4 MOD SALV DES 1 0  +O +O SAG -4 -4 MOD SALV Cos 1 0  +O +O CAR -5 -5 Immunità affascinato, avvelenato, indebolimento, paralizzato, psichico, spaventato, veleno Sensi Percezione passiva 6, vista cieca 9 m Lingue com prende le lingue parlate dal personaggio GS nessuno (PE O; BC pari al bonus di com petenza del personaggio) AZI O N I Schianto. Tiro per colpire in mischia: i l  bonus equivale al modificatore di attacco dell'incantesimo del ranger, portata di 1 , 5  metri Colpo: Danni da forza pari a l d4 + 3 (taglia M edia o inferiore), 2d6 + 3 + il modificatore di caratteristica da incantatore dell ' incantatore (taglia G rande) o 2dl 2  + 3 + il modificatore di caratteristica da incantatore dell'incantatore (taglia Enorme) . P'"""""" ANIMARE OGGETTI"
"P'"""""" ANIMARE OGGETTI",5,Trasmutazione,"bardo, mago, stregone",azione,36 metri,"V, S","concentrazione, fino a l minuto","Gli oggetti si animano su ordine dell'incantatore. L'incantatore sceglie un numero di oggetti non magici entro gittata che non siano indossati o trasportati, fissati su una superficie o di dimensioni Mastodontiche. Il numero massimo di oggetti è uguale al suo modificatore di caratteristica da incantatore; per questo numero, un bersaglio di taglia Media o inferiore conta come un oggetto, un bersaglio di taglia Grande conta come due e un bersaglio Enorme conta come tre. Ogni bersaglio si anima e diventa un costrutto prov­ visto di gambe che utilizza la scheda delle statistiche dell'oggetto animato; questa creatura è sotto il controllo dell'incantatore fino al termine dell'incantesimo o finché non viene ridotta a O punti ferita. Ogni creatura creata con questo incantesimo diventa un alleato per l'incanta­ tore e i suoi alleati. In combattimento, la creatura ha lo stesso punteggio di iniziativa dell'incantatore, ma inizia il turno immediatamente dopo il suo. Fino al termine dell'incantesimo, come azione bonus, l'incantatore può comandare mentalmente qualsiasi cre­ atura creata con questo incantesimo, a patto che si trovi entro 150 metri da sé (se controlla varie creature, l'incan­ tatore può comandarne più di una allo stesso momento, impartendo lo stesso comando a ciascuna di loro). Se invece non impartisce alcun comando, la creatura effettua l'azione Schivata e si sposta solo per evitare di subire danni. Quando la creatura scende a O punti ferita, riassume la sua forma di oggetto, a cui vengono trasferiti eventuali danni rimanenti. Utilizzo di uno slot incantesimo di livello superiore. I danni da Schianto della creatura aumentano di ld4 (taglia Media o inferiore), ld6 (taglia Grande) o ld12 (taglia Enorme) per ogni slot di livello superiore al 5°. ANTI-INDIVIDUAZIONE"
ANTI-INDIVIDUAZIONE,3,Abiurazione,"bardo, mago, ranger",azione,contatto,"V, S, M (un pizzico di polvere di diamante del valore di 25 mo o più, che l'incantesimo consuma)",8 ore,"Per la durata dell'incantesimo, l'incantatore nasconde agli incantesimi di divinazione un bersaglio da lui toccato. Il bersaglio può essere una creatura consenziente, oppure un luogo o un oggetto non più grande di 3 metri in qualsiasi dimensione. Il bersaglio non può essere preso di mira da alcun incantesimo di divinazione né percepito da sensori di scrutamento magico. N Ļ u w z !;; ANTIPATIA/SIMPATIA"
ANTIPATIA/SIMPATIA,8,Ammaliamento,"bardo, druido, mago",1 ora,18 metri,"V, S, M (una miscela di aceto e miele)",1 0  giorni,"Quando l'incantatore lancia l'incantesimo, decide se cre­ are antipatia o simpatia e sceglie come bersaglio una crea­ tura o un oggetto di taglia Enorme o inferiore. Dopodiché, specifica un tipo di creatura, come per esempio draghi rossi, goblin o vampiri. Una creatura del tipo scelto effet­ tua un tiro salvezza su Saggezza quando si trova entro 36 metri dal bersaglio. La scelta dell'incantatore tra gli effetti di antipatia e simpatia determina cosa accade a una creatura quando questa fallisce il tiro salvezza. Antipatia. La creatura è spaventata e deve usare il movi- mento nel suo turno per allontanarsi il più possibile dal bersaglio, muovendosi per la via più sicura. Simpatia. La creatura è affascinata e deve usare il movi­ mento nel suo turno per avvicinarsi il più possibile al bersaglio, muovendosi per la via più sicura. Se la creatura si trova entro 1,5 metri dal bersaglio, non può allontanarsi volontariamente. Se il bersaglio infligge danni alla creatura affascinata, questa può effettuare un tiro salvezza su Saggezza per porre fine all'effetto, come descritto di seguito. Porre fine all'effetto. Se la creatura spaventata o affasci­ nata termina il suo turno a più di 36 metri di distanza dal bersaglio, effettua un tiro salvezza su Saggezza. In caso di successo, la creatura non è più sotto l'influenza del bersaglio. Una creatura che supera un tiro salvezza contro l'effetto ne è immune per 1 minuto, al termine del quale può esserne influenzata di nuovo. ARMA ELEMENTALE"
ARMA ELEMENTALE,3,Trasmutazione,"druido, paladino, ranger",azione,contatto,"V, S","concentrazione, fino a 1 ora","Un'arma non magica toccata dall'incantatore diventa un'arma magica. L'incantatore sceglie uno dei tipi di danno seguenti: Acido, freddo, fulmine, fuoco o tuono. Per la durata dell'incantesimo, l'arma ottiene un bonus di +1 ai tiri per colpire e infligge ld4 danni extra del tipo scelto quando colpisce. Utilizzo di uno slot incantesimo di livello superiore. Se l'incantatore usa uno slot incantesimo di 5° o 6° livello, il bonus ai tiri per colpire aumenta a +2 e i danni extra aumentano a 2d4. Se l'incantatore usa uno slot incan­ tesimo di 7° livello o superiore, il bonus aumenta a +3 e i danni extra aumentano a 3d4. ARMA MAGICA"
ARMA MAGICA,2,Trasmutazione,"mago, paladino, ranger, stregone",azione bonus,contatto,"V, S",1 ora,"L'incantatore tocca un'arma non magica, e, fino al termine dell'incantesimo, quell'arma diventa un'arma magica con un bonus di +1 ai tiri per colpire e ai tiri per i danni. L'incantesimo termina in anticipo se l'incantatore lo lancia di nuovo. Utilizzo di uno slot incantesimo di livello superiore. Il bonus aumenta a +2 con uno slot incantesimo compreso tra il 3° e 5° livello. Il bonus aumenta a +3 con uno slot incantesimo di 6° livello o superiore. ARMA SPIRITUALE"
ARMA SPIRITUALE,2,Invocazione,chierico,azione bonus,18 metri,"V, S","concentrazione, fino a 1 minuto","L'incantatore crea una forza spettrale e fluttuante che ha la forma di un'arma a sua scelta e permane per la durata dell'incantesimo. L'arma appare entro gittata in un luogo a scelta dell'incantatore, il quale può subito effettuare un attacco in mischia con incantesimo contro una creatura entro 1,5 metri dall'arma. Se il colpo va a segno, il bersaglio subisce ld8 danni da forza + il modificatore di caratteristica da incantatore dell'incantatore. Come azione bonus nei suoi turni successivi, l'incan­ tatore può muovere l'arma spirituale di un massimo di 6 metri e ripetere l'attacco contro una creatura situata entro 1,5 metri da essa. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld8 per ogni slot di livello supe­ riore al 2°. ARMATURA DI AGATHYS"
ARMATURA DI AGATHYS,1,Abiurazione,warlock,azione bonus,incantatore,"V, S, M (un frammento di vetro blu)",1 ora,"Una patina di gelo magico protettivo circonda l'incan­ tatore, che ottiene 5 punti ferita temporanei. Se una creatura colpisce l'incantatore con un tiro per colpire in mischia prima del termine dell'incantesimo, la creatura subisce 5 danni da freddo. L'incantesimo termina in anti­ cipo se l'incantatore non ha punti ferita temporanei. Utilizzo di uno slot incantesimo di livello superiore. I punti ferita temporanei e i danni da freddo aumentano di 5 per ogni slot di livello superiore al 1°. ARMATURA MAGICA"
ARMATURA MAGICA,1,Abiurazione,"mago, stregone",azione,9 metri,"V, S",istantanea,"L'incantatore tocca una creatura consenziente che non indossa un'armatura. Fino al termine dell'incantesimo, la CA base del bersaglio diventa 13 più il suo modificatore di Destrezza. L'incantesimo termina in anticipo se il bersa­ glio indossa un'armatura. ARTIFICIO DRUIDICO . Trucchetto di Trasmutazione (druido) Sussurrando agli spiriti della natura, l'incantatore crea uno degli effetti seguenti entro gittata. Sensore atmosferico. L'incantatore crea un Minuscolo e innocuo effetto sensoriale che predice il tempo atmo­ sferico nel luogo in cui si trova per le successive 24 ore. L'effetto potrebbe manifestarsi come una sfera dorata in caso di cieli tersi, una nuvola in caso di pioggia, fiocchi di neve in caso di nevicate e così via. Questo effetto permane per 1 round. Fioritura. L'incantatore fa istantaneamente sbocciare un fiore, aprire un baccello o schiudere un germoglio. Effetto sensoriale. L'incantatore crea un effetto senso­ riale innocuo, come la caduta di foglie, delle fate spettrali danzanti, una brezza leggera, il rumore di un piccolo ani­ male o il debole odore di una puzzola. L'effetto deve poter essere contenuto in un cubo con spigolo di 1,5 metri. Trucchetto col fuoco. L'incantatore accende o spegne una candela, una torcia o un fuoco da campo. AURA DI PUREZZA"
AURA DI PUREZZA,4,Abiurazione,"chierico, paladino",azione,incantatore,V,"concentrazione, fino a 10 minuti","L'incantatore irradia un'aura in un'emanazione di 9 metri da sé che permane per la durata dell'incantesimo. Mentre sono nell'aura, l'incantatore e i suoi alleati ottengono resistenza ai danni da veleno e vantaggio ai tiri salvezza che evitano o pongono fine agli effetti che includono le condizioni accecato, affascinato, assordato, avvelenato, paralizzato, spaventato o stordito. AURA DI VITA"
AURA DI VITA,4,Abiurazione,"chierico, paladino",azione,incantatore,V,"concentrazione, fino a 10 minuti","L'incantatore irradia un'aura in un'emanazione di 9 metri da sé che permane per la durata dell'incantesimo. Mentre sono nell'aura, l'incantatore e i suoi alleati ottengono resistenza ai danni necrotici e i loro punti ferita massimi non possono essere ridotti. Se un alleato con O punti ferita inizia il suo turno nell'aura, ne recupera 1. AURA DI VITALITÀ"
AURA DI VITALITÀ,3,Abiurazione,"chierico, druido, paladino",azione,incantatore,V,"concentrazione, fino a 1 minuto","L'incantatore irradia un'aura in un'emanazione di 9 metri da sé che permane per la durata dell'incantesimo. Quando crea l'aura e all'inizio di ogni suo turno finché l'aura per­ mane, l'incantatore può ripristinare 2d6 punti ferita a una creatura al suo interno. AURA MAGICA DI NYSTUL"
AURA MAGICA DI NYSTUL,2,Illusione,mago,azione,contatto,"V, S, M (un piccolo pezzo quadrato di seta)",24 ore,"L'incantatore tocca una creatura consenziente o un oggetto che non sia indossato o trasportato e vi pone un'illusione. Una creatura riceve l'effetto Maschera, mentre un oggetto riceve l'effetto Falsa aura. Entrambi gli effetti, descritti di seguito, permangono per tutta la durata dell'incantesimo. Se l'incantatore lancia l'incan­ tesimo sullo stesso bersaglio ogni giorno per 30 giorni, l'illusione permane finché non viene dissolta. J45 Maschera (creatura). L'incantatore sceglie un tipo di creatura diverso da quello del bersaglio. Gli incantesimi e altri effetti magici considerano il bersaglio come se fosse una creatura del tipo scelto dall'incantatore. Falsa aura (oggetto). L'incantatore modifica il modo in cui il bersaglio appare agli incantesimi e agli effetti magici che individuano le aure magiche, come per esempio indi­ viduazione del magico. L'incantatore può fare in modo che un oggetto non magico appaia come magico e viceversa, oppure può cambiare l'aura di un oggetto in modo che sembri appartenere a una scuola di magia a sua scelta. AURA SACRA"
AURA SACRA,8,Abiurazione,chierico,azione,incantatore,"V, S, M (un reliquiario del valore di 1.000 mo o più)","concentrazione, fino a 1 minuto","Per la durata dell'incantesimo, l'incantatore irradia un'aura in un'emanazione di 9 metri. L e  creature scelte dell'incantatore che si trovano all'interno dell'aura dispongono di vantaggio a tutti i tiri salvezza, mentre le altre creature subiscono svantaggio ai tiri per colpire contro le creature scelte. Inoltre, quando un immondo o un non morto colpisce una creatura influenzata con un tiro per colpire in mischia, l'attaccante deve superare un tiro salvezza su Costituzione, altrimenti viene accecato fino al termine del proprio turno successivo. BACCHE BENEFICHE"
BACCHE BENEFICHE,1,Evocazione,"druido, ranger",azione,incantatore,"V, S, M (un rametto di vischio)",24 ore,"Per la durata dell'incantesimo, nella mano dell'incantatore appaiono dieci bacche infuse di magia. Una creatura può effettuare un'azione bonus per mangiare una bacca, recuperando così 1 punto ferita e ottenendo nutrimento sufficiente per una giornata intera. L e  bacche non mangiate scompaiono al termine dell'incantesimo. BAGLIORE LUNARE"
BAGLIORE LUNARE,2,Invocazione,druido,azione,36 metri,"V, S, M (una foglia di un vitigno legnoso)","concentrazione, fino a 1 minuto","Un bagliore argentato di luce pallida forma un cilindro del raggio di 1,5 metri e dell'altezza di 12 metri centrato su un punto entro gittata. Fino al termine dell'incante­ simo, il cilindro è pervaso da luce fioca e l'incantatore può effettuare un'azione di Magia nei turni successivi per spostare il cilindro fino a 18 metri. Quando appare il cilindro, ogni creatura al suo interno effettua un tiro salvezza su Costituzione. In caso di fallimento, una creatura subisce 2d10 danni radiosi e, se la creatura è in forma mutata (ad esempio, come conse­ guenza all'incantesimo metamorfosi), torna alla sua forma naturale e non può trasformarsi finché non esce dal cilin­ dro. In caso di successo, subisce soltanto la metà di quei danni. Una creatura effettua questo tiro salvezza anche quando l'area dell'incantesimo si muove nel suo spazio e quando la creatura entra nell'area dell'incantesimo o vi termina il suo turno. Una creatura effettua questo tiro salvezza solo una volta per turno. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ldlO per ogni slot di livello supe­ riore al 2°. BAGLIORE SOLARE"
BAGLIORE SOLARE,6,Invocazione,"chierico, druido, mago, stregone",azione,incantatore,"V, S, M (una lente d'ingrandimento)","concentrazione, fino a l minuto","L'incantatore lancia un bagliore solare in una linea larga 1,5 metri e lunga 18 metri. Ogni creatura nella sua traiettoria effettua un tiro salvezza su Costituzione e, se lo fallisce, subisce 6d8 danni radiosi e rimane accecata fino all'inizio del turno successivo dell'incantatore. Se lo supera, invece, subisce solo la metà dei danni. Fino al termine dell'incantesimo, l'incantatore può effettuare un'azione di Magia per creare una nuova linea radiosa. Per la durata dell'incantesimo, una scintilla di luce radiosa risplende nella sua mano ed emana luce intensa in un raggio di 9 metri e luce fioca per ulteriori 9 metri. Questa luce è considerata luce solare. BANCHETTO DEGLI EROI"
BANCHETTO DEGLI EROI,6,Evocazione,"bardo, chierico, druido",10 minuti,incantatore,"V, S, M (una ciotola tempestata di gemme del valore di 1.000 mo o più, che l'incantesimo consuma)",istantanea,"L'incantatore evoca accanto a sé un banchetto che appare su una superficie all'interno di un cubo libero con spigolo di 3 metri. Consumare il banchetto richiede 1 ora, solo al termine della quale il convivio scompare e i suoi effetti benefici vengono applicati. Fino a un massimo di dodici creature possono partecipare al banchetto. Una creatura che partecipa al banchetto ottiene numerosi benefici che durano 24 ore. L a  creatura diventa resistente ai danni da veleno e immune alle condizioni avvelenato e spaventato. Inoltre, i suoi punti ferita mas­ simi aumentano di 2d10 e ottiene lo stesso numero di punti ferita. BARRIERA DI LAME"
BARRIERA DI LAME,6,Invocazione,chierico,azione,27 metri,"V, S","concentrazione, fino a 10 minuti","L'incantatore crea un muro di lame turbinanti composte da energia magica. Il muro compare entro gittata e permane per la durata dell'incantesimo. L'incantatore crea un muro lineare lungo fino a 30 metri, alto 6 metri e spesso 1,5 metri, oppure un muro circolare del diametro massimo di 18 metri, alto 6 metri e spesso 1,5 metri. Il muro garantisce tre quarti di copertura e il suo spazio è un terreno difficile. Qualsiasi creatura situata nello spazio del muro deve effettuare un tiro salvezza su Destrezza, subendo 6d10 danni forza in caso di fallimento, o la metà dei danni in caso di successo. Una creatura effettua il tiro salvezza anche se entra nello spazio del muro o vi termina il suo turno. Il tiro salvezza può essere effettuato solo una volta per turno. BEFFA CRUDELE"
