Livello,Nome Incantesimo,Classi,Descrizione Base
Level 5,ANIMARE OGGETTI,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: concentrazione, fino a l minuto Gli oggetti si animano su ordine dell'incantatore. L'incantatore sceglie un numero di oggetti non magici entro gittata che non siano indossati o trasportati, fissati su una superficie o di dimensioni M..."
Level 3,ANTI-INDIVIDUAZIONE,"Bardo, Mago, Ranger","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un pizzico di polvere di diamante del valore di 25 mo o più, che l'incantesimo consuma) Durata: 8 ore Per la durata dell'incantesimo, l'incantatore nasconde Il bersaglio può essere una creatura consenziente, oppure un luogo o un oggetto ..."
Level 8,ANTIPATIA/SIMPATIA,"Bardo, Druido, Mago","Tempo di lancio: 1 ora Gittata: 18 metri Componenti: V, S, M (una miscela di aceto e miele) Durata: 1 0  giorni Quando l'incantatore lancia l'incantesimo, decide se cre­ are antipatia o simpatia e sceglie come bersaglio una crea­ tura o un oggetto di taglia Enorme o inferiore. Dopodiché, specifica u..."
Level 3,ARMA ELEMENTALE,"Druido, Paladino, Ranger","Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: concentrazione, fino a 1 ora Un'arma non magica toccata dall'incantatore diventa un'arma magica. L'incantatore sceglie uno dei tipi di danno seguenti: Acido, freddo, fulmine, fuoco o tuono. Per la durata dell'incantesimo, l'arma otti..."
Level 2,ARMA MAGICA,"Mago, Paladino, Ranger, Stregone","Tempo di lancio: azione bonus Gittata: contatto Componenti: V, S Durata: 1 ora L'incantatore tocca un'arma non magica, e, fino al termine dell'incantesimo, quell'arma diventa un'arma magica con un bonus di +1 ai tiri per colpire e ai tiri per i danni. L'incantesimo termina in anticipo se l'incantato..."
Level 2,ARMA SPIRITUALE,Chierico,"Tempo di lancio: azione bonus Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto L'incantatore crea una forza spettrale e fluttuante che ha la forma di un'arma a sua scelta e permane per la durata dell'incantesimo. L'arma appare entro gittata in un luogo a scelta dell'incanta..."
Level 1,ARMATURA DI AGATHYS,Warlock,"Tempo di lancio: azione bonus Gittata: incantatore Componenti: V, S, M (un frammento di vetro blu) Durata: 1 ora Una patina di gelo magico protettivo circonda l'incan­ tatore, che ottiene 5 punti ferita temporanei. Se una creatura colpisce l'incantatore con un tiro per colpire in mischia prima del t..."
Level 1,ARMATURA MAGICA,"Mago, Stregone","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un pezzo di cuoio trattato) Durata: 8 ore L'incantatore tocca una creatura consenziente che non indossa un'armatura. Fino al termine dell'incantesimo, la CA base del bersaglio diventa 13 più il suo modificatore di Destrezza. L'incantesim..."
Level 4,AURA DI PUREZZA,"Chierico, Paladino","Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: concentrazione, fino a 10 minuti L'incantatore irradia un'aura in un'emanazione di 9 metri da sé che permane per la durata dell'incantesimo. Mentre sono nell'aura, l'incantatore e i suoi alleati ottengono resistenza ai danni da velen..."
Level 4,AURA DI VITA,"Chierico, Paladino","Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: concentrazione, fino a 10 minuti L'incantatore irradia un'aura in un'emanazione di 9 metri da sé che permane per la durata dell'incantesimo. Mentre sono nell'aura, l'incantatore e i suoi alleati ottengono resistenza ai danni necrotic..."
Level 3,AURA DI VITALITÀ,"Chierico, Druido, Paladino","Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: concentrazione, fino a 1 minuto L'incantatore irradia un'aura in un'emanazione di 9 metri da sé che permane per la durata dell'incantesimo. Quando crea l'aura e all'inizio di ogni suo turno finché l'aura per­ mane, l'incantatore può ..."
Level 2,AURA MAGICA DI NYSTUL,Mago,"Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un piccolo pezzo quadrato di seta) Durata: 24 ore L'incantatore tocca una creatura consenziente o un oggetto che non sia indossato o trasportato e vi pone un'illusione. Una creatura riceve l'effetto Maschera, mentre un oggetto riceve l'e..."
Level 8,AURA SACRA,Chierico,"Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un reliquiario del valore di 1.000 mo o più) Durata: concentrazione, fino a 1 minuto Per la durata dell'incantesimo, l'incantatore irradia un'aura in un'emanazione di 9 metri. L e  creature scelte dell'incantatore che si trovano all'i..."
Level 1,BACCHE BENEFICHE,"Druido, Ranger","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un rametto di vischio) Durata: 24 ore Per la durata dell'incantesimo, nella mano dell'incantatore appaiono dieci bacche infuse di magia. Una creatura può effettuare un'azione bonus per mangiare una bacca, recuperando così 1 punto feri..."
Level 2,BAGLIORE LUNARE,Druido,"Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (una foglia di un vitigno legnoso) Durata: concentrazione, fino a 1 minuto Un bagliore argentato di luce pallida forma un cilindro del raggio di 1,5 metri e dell'altezza di 12 metri centrato su un punto entro gittata. Fino al termine dell..."
Level 6,BAGLIORE SOLARE,"Chierico, Druido, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (una lente d'ingrandimento) Durata: concentrazione, fino a l minuto L'incantatore lancia un bagliore solare in una linea larga 1,5 metri e lunga 18 metri. Ogni creatura nella sua traiettoria effettua un tiro salvezza su Costituzione e,..."
Level 6,BANCHETTO DEGLI EROI,"Bardo, Chierico, Druido","Tempo di lancio: 10 minuti Gittata: incantatore Componenti: V, S, M (una ciotola tempestata di gemme del valore di 1.000 mo o più, che l'incantesimo consuma) Durata: istantanea L'incantatore evoca accanto a sé un banchetto che appare su una superficie all'interno di un cubo libero con spigolo di 3 m..."
Level 6,BARRIERA DI LAME,Chierico,"Tempo di lancio: azione Gittata: 27 metri Componenti: V, S Durata: concentrazione, fino a 10 minuti L'incantatore crea un muro di lame turbinanti composte da energia magica. Il muro compare entro gittata e permane per la durata dell'incantesimo. L'incantatore crea un muro lineare lungo fino a 30 met..."
Cantrip,BEFFA CRUDELE,Bardo,"Tempo di lancio: azione Gittata: 18 metri Componenti: V Durata: istantanea L'incantatore pronuncia una sequenza di insulti mescolati a impercettibili ammaliamenti contro una creatura entro gittata che è in grado di vedere o di sentire. Il bersaglio deve superare un tiro salvezza su Saggezza, altrime..."
Level 1,BENEDIZIONE,"Chierico, Paladino","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (un simbolo sacro del valore di 5 mo o più) Durata: concentrazione, fino a l minuto L'incantatore benedice fino a tre creature entro gittata. Se un bersaglio effettua un tiro per colpire o un tiro salvezza prima del termine dell'incantesim..."
Level 5,BLOCCA MOSTRI,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (una sbarra di ferro) Durata: concentrazione, fino a 1 minuto L'incantatore sceglie una creatura entro gittata che è in grado di vedere. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti rimane paralizzato per la durata ..."
Level 2,BOCCA MAGICA,"Bardo, Mago","Tempo di lancio: 1 minuto o rituale Gittata: 9 metri Componenti: V, S, M (polvere di giada del valore di 10 mo o più, che l'incantesimo consuma) Durata: finché non viene dissolto L'incantatore imprime un messaggio all'interno di un oggetto entro gittata, che viene pronunciato quando si verifica una ..."
Level 1,BRACCIA DI RADAR,Warlock,"Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: istantanea Invocando Hadar, dal corpo dell'incantatore erompono dei tentacoli. Ogni creatura in un'emanazione di 3 metri di cui l'incantatore è il punto di origine effettua un tiro salvezza su Forza. Se lo fallisce, il bersaglio s..."
Level 1,CADUTA MORBIDA,"Bardo, Mago, Stregone","Tempo di lancio: Reazione, che l'incantatore può effettuare quando egli stesso o una creatura entro 18 metri da lui che è in grado di vedere cade Gittata: 18 metri Componenti: V, M (una piccola piuma) Durata: 1 minuto L'incantatore sceglie fino a cinque creature in caduta entro gittata. L a  velocit..."
Level 6,CALDERONE RIBOLLENTE DI TASHA,"Mago, Warlock","Tempo di lancio: azione Gittata: 1, S metri Componente: V, S, M (un mestolo dorato del valore di 500 mo o più) Durata: 10 minuti L'incantatore evoca un calderone dotato di piedini curvi, pieno di liquido ribollente. Il calderone appare in uno spazio libero sul terreno entro 1,5 metri dall'incantator..."
Level 2,CALMARE EMOZIONI,"Bardo, Chierico","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto Ogni umanoide all'interno di una sfera del raggio di 6 metri centrata su un punto scelto dall'incantatore entro gittata deve effettuare un tiro salvezza su Carisma o essere influenzato da uno dei segue..."
Level 6,CAMMINARE NEL VENTO,Druido,"Tempo di lancio: 1 minuto Gittata: 9 metri Componenti: V, S, M (una candela) Durata: 8 ore L'incantatore e un massimo di dieci creature consenzienti a sua scelta entro gittata assumono una forma gassosa per la durata dell'incantesimo, apparendo come sbuffi di nuvole. Finché il bersaglio ha queste se..."
Level 3,CAMMINARE SULL'ACQUA,"Chierico, Druido, Ranger, Stregone","Tempo di lancio: azione o rituale Gittata: 9 metri Componenti: V, S, M (un pezzo di sughero) Durata: 1 ora Questo incantesimo conferisce la capacità di muoversi su una qualsiasi superficie liquida, come l'acqua, l'acido, il fango, la neve, le sabbie mobili o la lava, come se si trattasse di un innoc..."
Level 8,CAMPO ANTI-MAGIA,"Chierico, Mago","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (limatura di ferro) Durata: concentrazione, fino a 1 ora Un'aura di anti-magia circonda l'incantatore in un'ema­ compiere azioni di Magia o creare altri effetti magici all'interno dell'aura, e tali azioni non possono colpire o influenz..."
Level 1,CAMUFFARE SE STESSO,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: l ora L'incantatore assume un aspetto diverso (che include i suoi abiti, armatura, armi e altri oggetti personali pre­ senti sulla sua persona) fino al termine dell'incantesimo. Può apparire 30 centimetri più alto o più basso e ap..."
Level 3,CAPANNA DI LEOMUND,"Bardo, Mago","Tempo di lancio: l minuto o rituale Gittata: incantatore Componenti: V, S, M (una perla di cristallo) Durata: 8 ore Un'emanazione di 3 metri si materializza attorno all'incan­ tatore e permane stazionaria per la durata dell'incantesimo. L'incantesimo fallisce quando l'incantatore lo lancia ma l'eman..."
Level 6,CARNE IN PIETRA,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (una piuma di coccatrice) Durata: concentrazione, fino a l minuto L'incantatore tenta di tramutare in pietra una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Costituzione. In caso di falliment..."
Level 6,CATENA DI FULMINI,"Mago, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (tre spilli d'argento) Durata: istantanea L'incantatore scaglia un fulmine verso un bersaglio entro gittata e che è in grado di vedere. Tre fulmini sfrecciano poi dal bersaglio verso un massimo di altri tre bersagli a scelta dell'incantat..."
Level 2,CECITÀ/SORDITÀ,"Bardo, Chierico, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V Durata: 1 minuto Una creatura entro gittata che l'incantatore è in grado di vedere deve superare un tiro salvezza su Costituzione, altrimenti viene accecata o assordata (a scelta dell'incan­ tatore) per la durata dell'incantesimo. Alla fine di ..."
Level 7,CELARE,Mago,"Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (polvere di gemme del valore di 5.000 mo o più, che l'incantesimo consuma) Durata: finché non viene dissolto Con un tocco, l'incantatore cela magicamente un oggetto o una creatura consenziente. Per la durata dell'incante­ simo, il bersagl..."
Level 6,CERCHIO DI MORTE,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (polvere ricavata da una perla nera frantumata, del valore di 500 mo o più) Durata: istantanea Un flusso di energia negativa si espande in una sfera del raggio di 18 metri da un punto a scelta dell'incantatore situato entro gittata. Ogni ..."
Level 5,CERCHIO DI POTERE,"Chierico, Mago, Paladino","Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: concentrazione, fino a 10 minuti L'incantatore irradia un'aura in un'emanazione di 9 metri da sé che permane per la durata dell'incantesimo. Mentre sono nell'aura, l'incantatore e i suoi alleati dispongono di vantaggio sui tiri salve..."
Level 5,CERCHIO DI TELETRASPORTO,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: 1 minuto Gittata: 3 metri Componenti: V, M (inchiostri rari dal valore di 50 mo o più, che l'incantesimo consuma) Durata: 1 round Quando lancia l'incantesimo, l'incantatore traccia un cerchio del diametro di 1,5 metri sul terreno dotato di sigilli che collegano il luogo in cui si tr..."
Level 3,CERCHIO MAGICO,"Chierico, Mago, Paladino, Warlock","Tempo di lancio: 1 minuto Gittata: 3 metri Componenti: V, S, M (sale e polvere d'argento del valore di 100 mo o più, che l'incantesimo consuma) Durata: 1 ora L'incantatore crea un cilindro di energia magica di 3 metri di raggio e 6 metri di altezza, centrato su un punto del terreno entro gittata che..."
Level 3,CHIAROVEGGENZA,"Bardo, Chierico, Mago, Stregone","Tempo di lancio: 1 0  minuti Gittata: 1 , 5  chilometri Componenti: V, S, M (un focus del valore di 1 00 mo o più, a scelta tra un cornetto acustico incastonato di gemme o un occhio di vetro per la vista) Durata: concentrazione, fino a 10 minuti L'incantatore crea un sensore invisibile entro gittata..."
Level 8,CLONE,Mago,"Tempo di lancio: 1 ora Gittata: contatto Componenti: V, S, M (un diamante del valore di 1 .000 mo o più, che l'incantesimo consuma, e un contenitore sigil­ labile del valore di 2.000 mo o più, abbastanza grande da contenere la creatura da clonare) Durata: istantanea L'incantatore tocca una creatura ..."
Cantrip,COLPO ACCURATO,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: S, M (un'arma nel cui uso l'incantatore ha competenza e ha un valore di l mr o più) Durata: istantanea Guidato da un lampo di intuizione magica, l'incantatore effettua un attacco con l'arma utilizzata per lanciare l'incantesimo. Per determinar..."
Level 5,COLPO INFUOCATO,Chierico,"Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (un pizzico di zolfo) Durata: istantanea Una colonna verticale di fuoco splendente si abbatte dall'alto. Ogni creatura all'interno di un cilindro del raggio di 3 metri e dell'altezza di 12 metri centrato in un punto entro gittata effettua..."
Level 1,COLPO INTRAPPOLANTE,Ranger,"Tempo di lancio: Azione bonus che l'incantatore effettua subito dopo aver colpito una creatura con un'arma Gittata: incantatore Componenti: V Durata: concentrazione, fino al minuto Quando l'incantatore colpisce il bersaglio, su di esso appare un groviglio di rampicanti. Il bersaglio effettua un tiro..."
Level 1,COLTELLO DI GHIACCIO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: S, M (una goccia d'acqua o un frammento di ghiaccio) Durata: istantanea L'incantatore crea un frammento di ghiaccio e lo scaglia contro una creatura entro gittata, effettuando un attacco a distanza con incantesimo contro il bersaglio. Se il colpo..."
Level 1,COMANDO,"Bardo, Chierico, Paladino","Tempo di lancio: azione Gittata: 18 metri Componenti: V Durata: istantanea L'incantatore rivolge una parola di comando a una creatura entro gittata che è in grado di vedere. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti dovrà obbedire al comando nel suo turno successivo. Scegli..."
Level 1,COMPRENSIONE DEI LINGUAGGI,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione o rituale Gittata: incantatore Componenti: V, S, M (un pizzico di fuliggine e di sale) Durata: 1 ora Per la durata dell'incantesimo, l'incantatore comprende il significato letterale di qualsiasi linguaggio che è in grado di sentire o vedere tramite segni. Comprende inoltre og..."
Level 4,COMPULSIONE,Bardo,"Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto Ogni creatura a scelta dell'incantatore, entro gittata e che l'incantatore è in grado di vedere, deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinata fino al termine dell'incantesi..."
Level 5,COMUNIONE,Chierico,"Tempo di lancio: 1 minuto o rituale Gittata: incantatore Componenti: V, S, M (incenso) Durata: 1 minuto L'incantatore entra in contatto con una divinità o un emissario divino e, prima della fine dell'incantesimo, pone fino a tre domande a cui è possibile rispondere con sì o no. L'incantatore riceve ..."
Level 5,COMUNIONE CON LA NATURA,"Druido, Ranger","Tempo di lancio: 1 minuto o rituale Gittata: incantatore Componenti: V, S Durata: istantanea L'incantatore entra in comunione con gli spiriti della natura e acquisisce conoscenza dell'area circostante. All'aperto, l'incantesimo fornisce all'incantatore la conoscenza dell'area entro un raggio di 4,5 ..."
Level 4,CONFUSIONE,"Bardo, Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (tre gusci di noce) Durata: concentrazione, fino a 1 minuto Ogni creatura all'interno di una sfera del raggio di 3 metri centrata su un punto entro gittata a scelta dell'incantatore deve superare un tiro salvezza su Saggezza, altrimenti n..."
Level 5,CONO DI FREDDO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un piccolo cono di cristallo o vetro) Durata: istantanea Un getto d'aria gelida si propaga dall'incantatore. Ogni creatura entro un cono di 18 metri che ha origine dall'incantatore effettua un tiro salvezza su Costituzione, subendo 8d..."
Level 5,CONOSCENZA DELLE LEGGENDE,"Bardo, Chierico, Mago","Tempo di lancio: 10 minuti Gittata: incantatore Componenti: V, S, M (incenso del valore di 250 mo o più, che l'incantesimo consuma, e quattro bastoncini d'avorio del valore di 50 mo o più ciascuno) Durata: istantanea L'incantatore nomina o descrive una persona, un luogo o un oggetto famosi. L'incant..."
Level 5,CONTAGIO,"Chierico, Druido","Tempo di lancio: azione Gittata: contatto Componente: V, S Durata: 7 giorni Il tocco dell'incantatore trasmette un contagio magico. Il bersaglio deve superare un tiro salvezza su Costituzione, altrimenti subirà lld8 danni necrotici e sarà avvelenato. Inoltre, quando l'incantatore lancia l'incantesim..."
Level 5,CONTATTARE ALTRI PIANI,"Mago, Warlock","Tempo di lancio: 1 minuto o rituale Gittata: incantatore Componenti: V Durata: 1 minuto L'incantatore contatta mentalmente un semidio, lo spirito di un sapiente defunto da tempo o qualche altra entità saggia appartenente a un altro piano. Contattare questa intelligenza ultraterrena può sconvolgere l..."
Level 6,CONTINGENZA,Mago,"Tempo di lancio: 1 0  minuti Gittata: incantatore Componenti: V, S, M (una statuetta dell'incantatore tempe­ stata di gemme, del valore di 1 . 500 mo o più) Durata: 1 0  giorni L'incantatore sceglie un incantesimo di livello pari o infe­ riore a 5 che sia in grado di lanciare, che abbia un tempo di ..."
Level 3,CONTROINCANTESIMO,"Mago, Stregone, Warlock","Tempo di lancio: Reazione, che l'incantatore può effettuare quando vede una creatura entro 1 8  metri da lui lanciare u n  incantesimo con componenti verbali, somatiche o materiali Gittata: 18 metri Componenti: S Durata: istantanea L'incantatore tenta di interrompere una creatura nell'atto di lancia..."
Level 4,CONTROLLARE ACQUA,"Chierico, Druido, Mago","Tempo di lancio: azione Gittata: 90 metri Componenti: V, S, M (una miscela di acqua e polvere) Durata: concentrazione, fino a 1 0  minuti Fino al termine dell'incantesimo, l'incantatore controlla una massa d'acqua all'interno di un'area a sua scelta, con un volume massimo pari a un cubo con spigolo ..."
Level 8,CONTROLLARE TEMPO ATMOSFERICO,"Chierico, Druido, Mago","Tempo di lancio: 1 0  minuti Gittata: incantatore Componenti: V, S, M (incenso bruciato) Durata: concentrazione, fino a 8 ore L'incantatore assume il controllo del tempo atmosferico entro 7,5 chilometri per la durata dell'incantesimo, che dev'essere lanciato in un luogo all'aperto. L'incantesimo ter..."
Level 2,CORDONE DI FRECCE,Ranger,"Tempo di lancio: azione Gittata: contatto Condizione Calmo Vento moderato Vento forte Burrasca Tempesta Componenti: V, S, M (una treccia ornamentale) Durata: 8 ore L'incantatore tocca fino a quattro frecce o dardi non magici e li conficca nel terreno nel suo spazio. Fino al termine dell'incantesimo,..."
Level 2,CORONA DI FOLLIA,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto Una creatura entro gittata e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinato per la durata dell'incante­ simo. La creatura supera autom..."
Level 3,CREARE CRNO E ACQUA,"Chierico, Paladino","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: istantanea L'incantatore crea 22,5 chili di cibo e 120 litri d'acqua fresca sul terreno o all'interno di un contenitore entro gittata, utili per tenere lontani i rischi di malnutrizione e disidratazione. Il cibo è insipido ma nutrient..."
Level 6,CREARE NON MORTI,"Chierico, Mago, Warlock","Tempo di lancio: 1 minuto Gittata: 3 metri Componenti: V, S, M (una pietra onice nera del valore di 1 SO mo o più per ogni cadavere) Durata: istantanea L'incantatore può lanciare questo incantesimo di notte, scegliendo fino a tre cadaveri umanoidi di taglia Media o Piccola entro gittata. Ognuno di l..."
Level 5,CREAZIONE,"Mago, Stregone","Tempo di lancio: 1 minuto Gittata: 9 metri Componenti: V, S, M (un pennello) Durata: speciale L'incantatore attrae a sé dei filamenti di sostanza d'ombra dalla Coltre Oscura per creare un oggetto entro gittata. L'oggetto può essere di materia vegetale (tessuti, corda, legno o materiali simili) o di ..."
Level 2,CRESCITA DI SPINE,"Druido, Ranger","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (sette spine) Durata: concentrazione, fino a 10 minuti Spine e spuntoni nascono dal terreno in una sfera del raggio di 6 metri, centrata su un punto entro gittata. Per la durata dell'incantesimo, l'area diventa terreno difficile. Quando u..."
Level 3,CRESCITA VEGETALE,"Bardo, Druido, Ranger","Tempo di lancio: azione (Groviglio) o 8 ore (Fertilità) Gittata: 45 metri Componenti: V, S Durata: istantanea Questo incantesimo incanala vitalità nei vegetali. Il tempo di lancio utilizzato dall'incantatore determina l'effetto che ha l'incantesimo tra i due descritti di seguito: Groviglio o Fertili..."
Level 5,CURA FERITE DI MASSA,"Bardo, Chierico, Druido","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea Un'ondata di energia curativa si sprigiona da un punto entro gittata che l'incantatore è in grado di vedere. L'incantatore sceglie fino a sei creature in una sfera di 9 metri di raggio centrata su quel punto: ogni ber­ sag..."
Level 6,DANZA IRRESISTIBILE DI OTTO,"Bardo, Mago","Tempo di lancio: azione Gittata: 9 metri Componenti: V Durata: concentrazione, fino a l minuto Una creatura entro gittata che l'incantatore è in grado di vedere deve effettuare un tiro salvezza su Saggezza. In caso di successo, il bersaglio danza comicamente fino al termine del proprio turno success..."
Cantrip,DARDO DI FUOCO,"Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: istantanea L'incantatore scaglia una scintilla di fuoco verso una creatura o un oggetto situato entro gittata, effettuando un attacco a distanza con incantesimo contro il bersaglio. Se il colpo va a segno, il bersaglio subisce ldlO d..."
Level 1,DARDO INCANTATO,"Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: istantanea L'incantatore crea tre dardi lucenti di· forza magica. Ogni dardo colpisce una creatura a scelta dell'incantatore, situata entro gittata e che è in grado di vedere. Un dardo infligge ld4 + 1 danni da forza al suo bersaglio..."
Level 1,DARDO STREGATO,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (un ramoscello colpito da un fulmine) Durata: concentrazione, fino a 1 minuto Un raggio di energia crepitante sfreccia verso una creatura entro gittata, formando una scarica di fulmini prolungata che intercorre tra l'incantatore e il bers..."
Level 1,DARDO TRACCIANTE,Chierico,"Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: 1 round L'incantatore scaglia un lampo di luce verso una creatura entro gittata, effettuando un attacco a distanza con incantesimo contro il bersaglio. Se il colpo va a segno, esso subisce 4d6 danni radiosi, e il successivo tiro per ..."
Cantrip,DEFLAGRAZIONE OCCULTA,Warlock,"Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: istantanea L'incantatore scaglia un raggio di energia crepitante, effet­ tuando un attacco a distanza con incantesimo contro una creatura o un oggetto entro gittata. Se il colpo va a segno, il bersaglio subisce ldlO danni da forza. T..."
Level 9,DESIDERIO,"Mago, Stregone",Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: istantanea Desiderio è l'incantesimo più potente che un mortale sia in grado di lanciare. Gli basta parlare a voce alta per alte­ rare l'essenza stessa della realtà. L'uso base di questo incantesimo è riprodurre un qualsiasi altro in...
